,Pt_No,latitude,longitude,time,speed
0,1,-35.362332061513726,149.16459531989858,0,5
1,2,-35.36229520894701,149.16481073269995,4,5
2,3,-35.3622583595314,149.16502614620686,8,5
3,4,-35.36222151334739,149.16524156043977,12,5
4,5,-35.36218467047925,149.16545697542008,16,5
5,6,-35.36214783101525,149.16567239117026,20,5
6,7,-35.36211099504801,149.16588780771383,24,5
7,8,-35.36207416267478,149.16610322507546,28,5
8,9,-35.36203733399785,149.16631864328113,32,5
9,10,-35.362000509124904,149.1665340623582,36,5
10,11,-35.36196368816944,149.1667494823355,40,5
11,12,-35.361926871251335,149.1669649032434,44,5
12,13,-35.36189005849731,149.16718032511415,48,5
13,14,-35.36185325004162,149.16739574798177,52,5
14,15,-35.36181644602667,149.1676111718824,56,5
15,16,-35.36177964660384,149.16782659685444,60,5
16,17,-35.3617428519343,149.1680420229388,64,5
17,18,-35.36170606219004,149.1682574501791,68,5
18,19,-35.361669277555,149.16847287862197,72,5
19,20,-35.36163249822635,149.1686883083174,76,5
20,21,-35.36159572441592,149.1689037393191,80,5
21,22,-35.36155895635202,149.1691191716849,84,5
22,23,-35.361522194281335,149.1693346054774,88,5
23,24,-35.36148543847125,149.16955004076422,92,5
24,25,-35.36144868921264,149.1697654776191,96,5
25,26,-35.36141194682301,149.16998091612248,100,5
26,27,-35.36137521165044,149.1701963563624,104,5
27,28,-35.36133848407815,149.17041179843594,108,5
28,29,-35.361301764530104,149.17062724245034,112,5
29,30,-35.361265053477965,149.17084268852497,116,5
30,31,-35.361228351449526,149.17105813679328,120,5
31,32,-35.36119165903943,149.17127358740566,124,5
32,33,-35.36115497692273,149.17148904053275,128,5
33,34,-35.361118305872374,149.17170449636984,132,5
34,35,-35.36108164678225,149.17191995514276,136,5
35,36,-35.36104500069791,149.17213541711553,140,5
36,37,-35.36100836885883,149.172350882601,144,5
37,38,-35.360971752758005,149.17256635197583,148,5
38,39,-35.360935154228436,149.1727818257023,152,5
39,40,-35.36089857557463,149.17299730436122,156,5
40,41,-35.360862019781315,149.1732127887044,160,5
41,42,-35.360825490867256,149.17342827974346,164,5
42,43,-35.360788994535866,149.1736437789128,168,5
43,44,-35.36075253951689,149.17385928840585,172,5
44,45,-35.36071614084951,149.1740748119963,176,5
