,Pt_No,latitude,longitude,time,speed
0,1,-35.36047672991207,149.16522653787277,0,5
1,2,-35.36043987733403,149.16544195038736,4,5
2,3,-35.360403027907104,149.1656573636075,8,5
3,4,-35.360366181711775,149.16587277755366,12,5
4,5,-35.3603293388323,149.1660881922473,16,5
5,6,-35.360292499356966,149.16630360771077,20,5
6,7,-35.36025566337841,149.16651902396768,24,5
7,8,-35.360218830993865,149.16673444104268,28,5
8,9,-35.36018200230561,149.16694985896177,32,5
9,10,-35.36014517742133,149.16716527775228,36,5
10,11,-35.36010835645456,149.167380697443,40,5
11,12,-35.36007153952514,149.1675961180644,44,5
12,13,-35.36003472675981,149.16781153964868,48,5
13,14,-35.359997918292805,149.16802696222987,52,5
14,15,-35.35996111426654,149.16824238584408,56,5
15,16,-35.359924314832405,149.16845781052976,60,5
16,17,-35.359887520151545,149.1686732363278,64,5
17,18,-35.359850730395976,149.1688886632818,68,5
18,19,-35.359813945749636,149.1691040914384,72,5
19,20,-35.35977716640968,149.16931952084764,76,5
20,21,-35.35974039258795,149.16953495156318,80,5
21,22,-35.35970362451274,149.16975038364288,84,5
22,23,-35.35966686243076,149.16996581714926,88,5
23,24,-35.35963010660938,149.17018125215006,92,5
24,25,-35.35959335733947,149.170396688719,96,5
25,26,-35.359556614938555,149.17061212693642,100,5
26,27,-35.35951987975469,149.1708275668905,104,5
27,28,-35.3594831521711,149.17104300867823,108,5
28,29,-35.359446432611776,149.1712584524069,112,5
29,30,-35.35940972154836,149.17147389819584,116,5
30,31,-35.35937301950863,149.17168934617854,120,5
31,32,-35.359336327087256,149.1719047965054,124,5
32,33,-35.35929964495927,149.17212024934702,128,5
33,34,-35.359262973897664,149.17233570489876,132,5
34,35,-35.35922631479626,149.17255116338643,136,5
35,36,-35.35918966870065,149.17276662507405,140,5
36,37,-35.35915303685034,149.17298209027444,144,5
37,38,-35.359116420738246,149.17319755936435,148,5
38,39,-35.35907982219743,149.173413032806,152,5
39,40,-35.359043243532376,149.1736285111803,156,5
40,41,-35.35900668772782,149.17384399523903,160,5
41,42,-35.35897015880255,149.17405948599384,164,5
42,43,-35.35893366245994,149.1742749848792,168,5
43,44,-35.35889720742975,149.17449049408856,172,5
44,45,-35.358860808751196,149.17470601739578,176,5
