,Pt_No,latitude,longitude,time,speed
0,1,-35.36070171918091,149.16492137902864,0,5
1,2,-35.36066486660425,149.16513679168187,4,5
2,3,-35.360628017178676,149.16535220504068,8,5
3,4,-35.36059117098471,149.16556761912548,12,5
4,5,-35.36055432810661,149.16578303395772,16,5
5,6,-35.36051748863266,149.16599844955982,20,5
6,7,-35.36048065265546,149.1662138659553,24,5
7,8,-35.36044382027228,149.1664292831689,28,5
8,9,-35.3604069915854,149.16664470122655,32,5
9,10,-35.36037016670249,149.1668601201556,36,5
10,11,-35.36033334573709,149.1670755399849,40,5
11,12,-35.36029652880904,149.16729096074482,44,5
12,13,-35.36025971604507,149.16750638246756,48,5
13,14,-35.360222907579434,149.16772180518726,52,5
14,15,-35.36018610355454,149.16793722893993,56,5
15,16,-35.36014930412176,149.16815265376408,60,5
16,17,-35.360112509442274,149.16836807970054,64,5
17,18,-35.36007571968807,149.16858350679297,68,5
18,19,-35.36003893504309,149.16879893508798,72,5
19,20,-35.3600021557045,149.16901436463556,76,5
20,21,-35.35996538188416,149.16922979548946,80,5
21,22,-35.35992861381032,149.16944522770748,84,5
22,23,-35.359891851729685,149.1696606613522,88,5
23,24,-35.359855095909694,149.1698760964913,92,5
24,25,-35.35981834664114,149.17009153319847,96,5
25,26,-35.35978160424158,149.17030697155414,100,5
26,27,-35.35974486905909,149.17052241164643,104,5
27,28,-35.359708141476865,149.17073785357232,108,5
28,29,-35.35967142191891,149.17095329743915,112,5
29,30,-35.359634710856845,149.17116874336622,116,5
30,31,-35.35959800881849,149.17138419148702,120,5
31,32,-35.35956131639847,149.1715996419519,124,5
32,33,-35.35952463427186,149.17181509493156,128,5
33,34,-35.359487963211606,149.17203055062126,132,5
34,35,-35.359451304111566,149.17224600924683,136,5
35,36,-35.35941465801733,149.1724614710723,140,5
36,37,-35.35937802616836,149.17267693641054,144,5
37,38,-35.35934141005764,149.1728924056382,148,5
38,39,-35.359304811518186,149.17310787921755,152,5
39,40,-35.35926823285449,149.17332335772946,156,5
40,41,-35.3592316770513,149.17353884192573,160,5
41,42,-35.35919514812737,149.17375433281796,164,5
42,43,-35.359158651786124,149.17396983184062,168,5
43,44,-35.3591221967573,149.17418534118713,172,5
44,45,-35.35908579808007,149.17440086463128,176,5
