,Pt_No,latitude,longitude,time,speed
0,1,-35.36122667165995,149.16583688389272,0,5
1,2,-35.361189819086505,149.16605229612992,4,5
2,3,-35.36115296966417,149.16626770907274,8,5
3,4,-35.36111612347344,149.1664831227416,12,5
4,5,-35.36107928059856,149.16669853715794,16,5
5,6,-35.36104244112783,149.16691395234415,20,5
6,7,-35.361005605153856,149.1671293683238,24,5
7,8,-35.36096877277391,149.1673447851216,28,5
8,9,-35.36093194409023,149.16756020276353,32,5
9,10,-35.36089511921056,149.16777562127686,36,5
10,11,-35.360858298248374,149.16799104069048,40,5
11,12,-35.36082148132355,149.1682064610348,44,5
12,13,-35.36078466856281,149.168421882342,48,5
13,14,-35.36074786010039,149.16863730464615,52,5
14,15,-35.36071105607872,149.1688527279834,56,5
15,16,-35.36067425664916,149.1690681523921,60,5
16,17,-35.3606374619729,149.16928357791323,64,5
17,18,-35.36060067222192,149.16949900459034,68,5
18,19,-35.36056388758016,149.1697144324701,72,5
19,20,-35.36052710824479,149.16992986160253,76,5
20,21,-35.36049033442766,149.1701452920413,80,5
21,22,-35.36045356635703,149.17036072384425,84,5
22,23,-35.36041680427964,149.17057615707398,88,5
23,24,-35.36038004846284,149.17079159179818,92,5
24,25,-35.36034329919751,149.17100702809051,96,5
25,26,-35.36030655680117,149.17122246603142,100,5
26,27,-35.360269821621884,149.171437905709,104,5
27,28,-35.36023309404289,149.17165334722034,108,5
28,29,-35.36019637448814,149.17186879067268,112,5
29,30,-35.360159663429286,149.17208423618533,116,5
30,31,-35.360122961394154,149.17229968389182,120,5
31,32,-35.360086268977355,149.1725151339425,124,5
32,33,-35.36004958685394,149.1727305865081,128,5
33,34,-35.360012915796894,149.17294604178383,132,5
34,35,-35.35997625670008,149.17316149999562,136,5
35,36,-35.35993961060904,149.1733769614074,140,5
36,37,-35.35990297876328,149.17359242633216,144,5
37,38,-35.359866362655765,149.17380789514647,148,5
38,39,-35.35982976411951,149.1740233683127,152,5
39,40,-35.359793185459026,149.17423884641173,156,5
40,41,-35.359756629659024,149.17445433019532,160,5
41,42,-35.3597201007383,149.17466982067523,164,5
42,43,-35.359683604400246,149.17488531928592,168,5
43,44,-35.3596471493746,149.1751008282209,172,5
44,45,-35.35961075070058,149.17531635125422,176,5
