,Pt_No,latitude,longitude,time,speed
0,1,-35.36055172422977,149.16528757196681,0,5
1,2,-35.3605148716522,149.16550298445364,4,5
2,3,-35.36047802222572,149.16571839764606,8,5
3,4,-35.360441176030854,149.1659338115645,12,5
4,5,-35.360404333151834,149.1661492262304,16,5
5,6,-35.36036749367697,149.16636464166615,20,5
6,7,-35.36033065769885,149.16658005789535,24,5
7,8,-35.36029382531478,149.1667954749426,28,5
8,9,-35.36025699662698,149.16701089283399,32,5
9,10,-35.360220171743165,149.16722631159678,36,5
10,11,-35.36018335077686,149.1674417312598,40,5
11,12,-35.36014653384789,149.16765715185352,44,5
12,13,-35.36010972108302,149.16787257341005,48,5
13,14,-35.36007291261648,149.16808799596353,52,5
14,15,-35.36003610859067,149.16830341955009,56,5
15,16,-35.35999930915698,149.16851884420805,60,5
16,17,-35.35996251447658,149.16873426997842,64,5
17,18,-35.359925724721485,149.1689496969047,68,5
18,19,-35.3598889400756,149.16916512503366,72,5
19,20,-35.3598521607361,149.1693805544152,76,5
20,21,-35.359815386914825,149.16959598510303,80,5
21,22,-35.35977861884008,149.16981141715507,84,5
22,23,-35.359741856758546,149.1700268506338,88,5
23,24,-35.35970510093764,149.17024228560695,92,5
24,25,-35.359668351668184,149.1704577221482,96,5
25,26,-35.35963160926772,149.170673160338,100,5
26,27,-35.35959487408431,149.17088860026442,104,5
27,28,-35.35955814650119,149.1711040420245,108,5
28,29,-35.35952142694232,149.17131948572555,112,5
29,30,-35.359484715879354,149.17153493148686,116,5
30,31,-35.35944801384009,149.17175037944196,120,5
31,32,-35.359411321419174,149.17196582974117,124,5
32,33,-35.359374639291644,149.17218128255521,128,5
33,34,-35.35933796823049,149.17239673807933,132,5
34,35,-35.35930130912954,149.1726121965394,136,5
35,36,-35.3592646630344,149.17282765819945,140,5
36,37,-35.35922803118453,149.1730431233723,144,5
37,38,-35.3591914150729,149.17325859243462,148,5
38,39,-35.359154816532545,149.17347406584875,152,5
39,40,-35.35911823786795,149.17368954419553,156,5
40,41,-35.359081682063845,149.17390502822676,160,5
41,42,-35.35904515313903,149.17412051895406,164,5
42,43,-35.359008656796874,149.17433601781195,168,5
43,44,-35.35897220176714,149.17455152699387,172,5
44,45,-35.35893580308903,149.1747670502737,176,5
