,Pt_No,latitude,longitude,time,speed
0,1,-35.36236408714276,149.1646981233359,0,5
1,2,-35.36232723457624,149.16491353609055,4,5
2,3,-35.362290385160826,149.16512894955076,8,5
3,4,-35.36225353897702,149.16534436373698,12,5
4,5,-35.36221669610907,149.1655597786706,16,5
5,6,-35.36217985664526,149.16577519437408,20,5
6,7,-35.36214302067822,149.16599061087092,24,5
7,8,-35.36210618830519,149.16620602818585,28,5
8,9,-35.36206935962846,149.16642144634488,32,5
9,10,-35.3620325347557,149.16663686537527,36,5
10,11,-35.36199571380043,149.16685228530588,40,5
11,12,-35.36195889688252,149.1670677061671,44,5
12,13,-35.361922084128715,149.16728312799117,48,5
13,14,-35.36188527567322,149.16749855081216,52,5
14,15,-35.361848471658476,149.16771397466613,56,5
15,16,-35.36181167223583,149.16792939959151,60,5
16,17,-35.36177487756647,149.16814482562924,64,5
17,18,-35.36173808782241,149.1683602528229,68,5
18,19,-35.361701303187566,149.16857568121915,72,5
19,20,-35.36166452385911,149.16879111086794,76,5
20,21,-35.36162775004889,149.16900654182302,80,5
21,22,-35.36159098198518,149.16922197414223,84,5
22,23,-35.36155421991469,149.1694374078881,88,5
23,24,-35.36151746410481,149.16965284312835,92,5
24,25,-35.36148071484638,149.16986827993665,96,5
25,26,-35.36144397245695,149.17008371839344,100,5
26,27,-35.361407237284574,149.1702991585868,104,5
27,28,-35.361370509712486,149.17051460061379,108,5
28,29,-35.36133379016464,149.17073004458166,112,5
29,30,-35.361297079112695,149.17094549060974,116,5
30,31,-35.361260377084456,149.17116093883152,120,5
31,32,-35.36122368467455,149.17137638939738,124,5
32,33,-35.36118700255804,149.17159184247797,128,5
33,34,-35.36115033150789,149.17180729826856,132,5
34,35,-35.36111367241796,149.17202275699503,136,5
35,36,-35.3610770263338,149.17223821892136,140,5
36,37,-35.361040394494935,149.1724536843604,144,5
37,38,-35.3610037783943,149.1726691536888,148,5
38,39,-35.36096717986493,149.17288462736886,152,5
39,40,-35.36093060121132,149.17310010598143,156,5
40,41,-35.3608940454182,149.1733155902783,160,5
41,42,-35.36085751650434,149.17353108127102,164,5
42,43,-35.360821020173155,149.17374658039412,168,5
43,44,-35.36078456515436,149.17396208984096,172,5
44,45,-35.36074816648717,149.17417761338527,176,5
