,Pt_No,latitude,longitude,time,speed
0,1,-35.36241890117963,149.16425707545287,0,5
1,2,-35.36238204861344,149.16447248840797,4,5
2,3,-35.36234519919836,149.16468790206858,8,5
3,4,-35.36230835301488,149.16490331645517,12,5
4,5,-35.36227151014726,149.16511873158916,16,5
5,6,-35.36223467068378,149.16533414749298,20,5
6,7,-35.36219783471707,149.16554956419017,24,5
7,8,-35.36216100234438,149.16576498170542,28,5
8,9,-35.36212417366798,149.1659804000647,32,5
9,10,-35.36208734879554,149.16619581929535,36,5
10,11,-35.362050527840616,149.16641123942622,40,5
11,12,-35.36201371092303,149.16662666048768,44,5
12,13,-35.36197689816955,149.16684208251195,48,5
13,14,-35.36194008971438,149.16705750553308,52,5
14,15,-35.36190328569996,149.16727292958723,56,5
15,16,-35.36186648627765,149.16748835471276,60,5
16,17,-35.36182969160863,149.1677037809506,64,5
17,18,-35.3617929018649,149.1679192083443,68,5
18,19,-35.36175611723039,149.1681346369406,72,5
19,20,-35.361719337902265,149.16835006678943,76,5
20,21,-35.36168256409237,149.16856549794448,80,5
21,22,-35.36164579602899,149.16878093046367,84,5
22,23,-35.36160903395882,149.16899636440945,88,5
23,24,-35.36157227814927,149.1692117998496,92,5
24,25,-35.361535528891174,149.16942723685773,96,5
25,26,-35.361498786502075,149.16964267551432,100,5
26,27,-35.36146205133003,149.16985811590746,104,5
27,28,-35.36142532375827,149.1700735581342,108,5
28,29,-35.36138860421075,149.17028900230176,112,5
29,30,-35.36135189315914,149.17050444852947,116,5
30,31,-35.361315191131226,149.17071989695086,120,5
31,32,-35.36127849872165,149.17093534771627,124,5
32,33,-35.361241816605464,149.17115080099632,128,5
33,34,-35.36120514555565,149.17136625698635,132,5
34,35,-35.36116848646604,149.17158171591217,136,5
35,36,-35.36113184038223,149.17179717803776,140,5
36,37,-35.36109520854368,149.17201264367603,144,5
37,38,-35.36105859244338,149.17222811320354,148,5
38,39,-35.361021993914335,149.17244358708265,152,5
39,40,-35.360985415261055,149.17265906589412,156,5
40,41,-35.36094885946825,149.17287455038976,160,5
41,42,-35.36091233055472,149.1730900415812,164,5
42,43,-35.36087583422386,149.17330554090273,168,5
43,44,-35.360839379205395,149.1735210505478,172,5
44,45,-35.36080298053854,149.17373657429007,176,5
