,Pt_No,latitude,longitude,time,speed
0,1,-35.36085170118299,149.16553170947174,0,5
1,2,-35.36081484860725,149.16574712184763,4,5
2,3,-35.3607779991826,149.16596253492912,8,5
3,4,-35.36074115298957,149.16617794873665,12,5
4,5,-35.360704310112396,149.1663933632916,16,5
5,6,-35.36066747063937,149.16660877861648,20,5
6,7,-35.360630634663096,149.16682419473474,24,5
7,8,-35.36059380228085,149.16703961167116,28,5
8,9,-35.360556973594896,149.16725502945167,32,5
9,10,-35.360520148712915,149.1674704481036,36,5
10,11,-35.360483327748426,149.16768586765576,40,5
11,12,-35.36044651082131,149.16790128813864,44,5
12,13,-35.36040969805828,149.16811670958435,48,5
13,14,-35.36037288959356,149.16833213202705,52,5
14,15,-35.3603360855696,149.16854755550278,56,5
15,16,-35.360299286137746,149.16876298005,60,5
16,17,-35.36026249145917,149.16897840570957,64,5
17,18,-35.360225701705915,149.1691938325251,68,5
18,19,-35.36018891706186,149.1694092605433,72,5
19,20,-35.3601521377242,149.16962468981413,76,5
20,21,-35.36011536390477,149.16984012039129,80,5
21,22,-35.36007859583185,149.17005555233263,84,5
22,23,-35.36004183375215,149.17027098570068,88,5
23,24,-35.360005077933074,149.17048642056318,92,5
24,25,-35.35996832866545,149.17070185699382,96,5
25,26,-35.35993158626682,149.170917295073,100,5
26,27,-35.359894851085244,149.17113273488883,104,5
27,28,-35.35985812350396,149.17134817653834,108,5
28,29,-35.35982140394691,149.17156362012886,112,5
29,30,-35.35978469288578,149.17177906577965,116,5
30,31,-35.359747990848355,149.17199451362424,120,5
31,32,-35.35971129842927,149.17220996381303,124,5
32,33,-35.359674616303565,149.17242541651663,128,5
33,34,-35.35963794524423,149.17264087193038,132,5
34,35,-35.35960128614513,149.1728563302801,136,5
35,36,-35.3595646400518,149.1730717918298,140,5
36,37,-35.35952800820376,149.1732872568924,144,5
37,38,-35.35949139209396,149.17350272584451,148,5
38,39,-35.35945479355542,149.17371819914845,152,5
39,40,-35.359418214892656,149.1739336773851,156,5
40,41,-35.359381659090374,149.17414916130627,160,5
41,42,-35.35934513016737,149.17436465192364,164,5
42,43,-35.35930863382704,149.17458015067166,168,5
43,44,-35.35927217879913,149.17479565974384,172,5
44,45,-35.35923578012284,149.1750111829141,176,5
