,Pt_No,latitude,longitude,time,speed
0,1,-35.36115169365576,149.16455518834803,0,5
1,2,-35.361114841081836,149.16477060116765,4,5
2,3,-35.361077991659016,149.16498601469283,8,5
3,4,-35.361041145467794,149.165201428944,12,5
4,5,-35.36100430259244,149.16541684394258,16,5
5,6,-35.36096746312123,149.165632259711,20,5
6,7,-35.36093062714678,149.1658476762728,24,5
7,8,-35.36089379476634,149.16606309365267,28,5
8,9,-35.3608569660822,149.1662785118766,32,5
9,10,-35.36082014120204,149.1664939309719,36,5
10,11,-35.36078332023938,149.16670935096744,40,5
11,12,-35.360746503314054,149.1669247718936,44,5
12,13,-35.36070969055284,149.16714019378256,48,5
13,14,-35.36067288208995,149.16735561666843,52,5
14,15,-35.360636078067806,149.1675710405873,56,5
15,16,-35.36059927863775,149.16778646557756,60,5
16,17,-35.36056248396101,149.16800189168015,64,5
17,18,-35.36052569420955,149.16821731893867,68,5
18,19,-35.36048890956731,149.16843274739978,72,5
19,20,-35.36045213023146,149.16864817711343,76,5
20,21,-35.360415356413846,149.16886360813334,80,5
21,22,-35.36037858834275,149.16907904051735,84,5
22,23,-35.360341826264865,149.16929447432804,88,5
23,24,-35.360305070447595,149.16950990963306,92,5
24,25,-35.360268321181785,149.16972534650617,96,5
25,26,-35.36023157878497,149.16994078502773,100,5
26,27,-35.3601948436052,149.17015622528587,104,5
27,28,-35.360158116025715,149.1703716673776,108,5
28,29,-35.3601213964705,149.17058711141019,112,5
29,30,-35.36008468541116,149.17080255750298,116,5
30,31,-35.360047983375544,149.17101800578948,120,5
31,32,-35.36001129095827,149.17123345642003,124,5
32,33,-35.35997460883438,149.1714489095653,128,5
33,34,-35.359937937776856,149.17166436542055,132,5
34,35,-35.35990127867956,149.17187982421163,136,5
35,36,-35.359864632588035,149.17209528620256,140,5
36,37,-35.35982800074179,149.1723107517062,144,5
37,38,-35.3597913846338,149.17252622109913,148,5
38,39,-35.35975478609708,149.17274169484372,152,5
39,40,-35.35971820743611,149.17295717352079,156,5
40,41,-35.35968165163564,149.17317265788208,160,5
41,42,-35.359645122714426,149.1733881489392,164,5
42,43,-35.359608626375895,149.17360364812666,168,5
43,44,-35.35957217134979,149.17381915763772,172,5
44,45,-35.35953577267528,149.17403468124624,176,5
