,Pt_No,latitude,longitude,time,speed
0,1,-35.361076697989326,149.16461622041032,0,5
1,2,-35.36103984541495,149.16483163320223,4,5
2,3,-35.361002995991676,149.16504704669967,8,5
3,4,-35.3609661498,149.1652624609231,12,5
4,5,-35.360929306924184,149.16547787589394,16,5
5,6,-35.36089246745251,149.16569329163465,20,5
6,7,-35.36085563147761,149.16590870816873,24,5
7,8,-35.36081879909672,149.1661241255209,28,5
8,9,-35.36078197041212,149.1663395437171,32,5
9,10,-35.3607451455315,149.16655496278472,36,5
10,11,-35.36070832456838,149.16677038275253,40,5
11,12,-35.36067150764261,149.166985803651,44,5
12,13,-35.36063469488093,149.16720122551226,48,5
13,14,-35.36059788641758,149.16741664837042,52,5
14,15,-35.36056108239497,149.16763207226157,56,5
15,16,-35.36052428296447,149.16784749722416,60,5
16,17,-35.36048748828726,149.16806292329906,64,5
17,18,-35.36045069853535,149.1682783505299,68,5
18,19,-35.36041391389266,149.16849377896332,72,5
19,20,-35.360377134556344,149.1687092086493,76,5
20,21,-35.36034036073828,149.16892463964152,80,5
21,22,-35.36030359266672,149.16914007199787,84,5
22,23,-35.36026683058838,149.16935550578089,88,5
23,24,-35.360230074770655,149.16957094105828,92,5
24,25,-35.36019332550439,149.16978637790373,96,5
25,26,-35.360156583107106,149.17000181639764,100,5
26,27,-35.36011984792689,149.17021725662812,104,5
27,28,-35.36008312034695,149.17043269869222,108,5
28,29,-35.360046400791276,149.1706481426972,112,5
29,30,-35.36000968973149,149.17086358876236,116,5
30,31,-35.359972987695414,149.17107903702123,120,5
31,32,-35.35993629527768,149.17129448762418,124,5
32,33,-35.35989961315333,149.17150994074183,128,5
33,34,-35.35986294209536,149.1717253965695,132,5
34,35,-35.3598262829976,149.171940855333,136,5
35,36,-35.35978963690563,149.17215631729636,140,5
36,37,-35.359753005058934,149.17237178277242,144,5
37,38,-35.35971638895049,149.17258725213782,148,5
38,39,-35.3596797904133,149.17280272585487,152,5
39,40,-35.35964321175189,149.1730182045044,156,5
40,41,-35.359606655950955,149.17323368883817,160,5
41,42,-35.35957012702929,149.17344917986784,164,5
42,43,-35.35953363069031,149.1736646790278,168,5
43,44,-35.35949717566374,149.17388018851148,172,5
44,45,-35.35946077698879,149.17409571209257,176,5
