,Pt_No,latitude,longitude,time,speed
0,1,-35.362413534741805,149.16394305144874,0,5
1,2,-35.36237668217558,149.16415846454652,4,5
2,3,-35.36233983276047,149.1643738783498,8,5
3,4,-35.36230298657696,149.16458929287907,12,5
4,5,-35.36226614370931,149.1648047081557,16,5
5,6,-35.362229304245794,149.1650201242022,20,5
6,7,-35.36219246827904,149.16523554104202,24,5
7,8,-35.36215563590631,149.1654509586999,28,5
8,9,-35.36211880722987,149.1656663772018,32,5
9,10,-35.36208198235741,149.16588179657504,36,5
10,11,-35.36204516140244,149.16609721684847,40,5
11,12,-35.36200834448482,149.16631263805252,44,5
12,13,-35.36197153173131,149.16652806021932,48,5
13,14,-35.36193472327611,149.166743483383,52,5
14,15,-35.36189791926165,149.16695890757964,56,5
15,16,-35.361861119839304,149.16717433284765,60,5
16,17,-35.36182432517025,149.16738975922797,64,5
17,18,-35.36178753542648,149.16760518676412,68,5
18,19,-35.361750750791934,149.16782061550285,72,5
19,20,-35.36171397146378,149.1680360454941,76,5
20,21,-35.361677197653854,149.16825147679154,80,5
21,22,-35.36164042959043,149.1684669094531,84,5
22,23,-35.36160366752024,149.1686823435412,88,5
23,24,-35.36156691171066,149.16889777912365,92,5
24,25,-35.361530162452524,149.16911321627413,96,5
25,26,-35.36149342006339,149.16932865507297,100,5
26,27,-35.36145668489131,149.16954409560836,104,5
27,28,-35.361419957319505,149.16975953797728,108,5
28,29,-35.36138323777196,149.16997498228702,112,5
29,30,-35.361346526720304,149.1701904286569,116,5
30,31,-35.361309824692356,149.1704058772204,120,5
31,32,-35.361273132282754,149.17062132812785,124,5
32,33,-35.36123645016653,149.17083678154995,128,5
33,34,-35.36119977911668,149.17105223768198,132,5
34,35,-35.361163120027044,149.17126769674974,136,5
35,36,-35.36112647394319,149.17148315901724,140,5
36,37,-35.361089842104604,149.17169862479733,144,5
37,38,-35.36105322600427,149.17191409446664,148,5
38,39,-35.3610166274752,149.17212956848743,152,5
39,40,-35.36098004882188,149.17234504744056,156,5
40,41,-35.36094349302904,149.17256053207774,160,5
41,42,-35.36090696411548,149.17277602341056,164,5
42,43,-35.360870467784586,149.17299152287345,168,5
43,44,-35.36083401276609,149.17320703265966,172,5
44,45,-35.3607976140992,149.17342255654285,176,5
