,Pt_No,latitude,longitude,time,speed
0,1,-35.36190161651769,149.16638620496212,0,5
1,2,-35.36186476394839,149.1666016169497,4,5
2,3,-35.36182791453019,149.16681702964289,8,5
3,4,-35.3617910683436,149.16703244306214,12,5
4,5,-35.36175422547284,149.1672478572289,16,5
5,6,-35.36171738600626,149.16746327216555,20,5
6,7,-35.36168055003642,149.16767868789566,24,5
7,8,-35.361643717660606,149.16789410444395,28,5
8,9,-35.361606888981086,149.16810952183639,32,5
9,10,-35.36157006410554,149.16832494010026,36,5
10,11,-35.3615332431475,149.16854035926448,40,5
11,12,-35.36149642622679,149.1687557793594,44,5
12,13,-35.36145961347019,149.16897120041722,48,5
13,14,-35.36142280501191,149.16918662247204,52,5
14,15,-35.36138600099438,149.16940204555996,56,5
15,16,-35.36134920156896,149.1696174697194,60,5
16,17,-35.36131240689683,149.16983289499126,64,5
17,18,-35.36127561714998,149.17004832141916,68,5
18,19,-35.361238832512356,149.17026374904975,72,5
19,20,-35.36120205318112,149.17047917793303,76,5
20,21,-35.36116527936811,149.1706946081227,80,5
21,22,-35.361128511301615,149.1709100396766,84,5
22,23,-35.36109174922834,149.1711254726573,88,5
23,24,-35.36105499341568,149.1713409071325,92,5
24,25,-35.36101824415448,149.17155634317592,96,5
25,26,-35.36098150176227,149.17177178086794,100,5
26,27,-35.36094476658711,149.1719872202967,104,5
27,28,-35.36090803901224,149.17220266155923,108,5
28,29,-35.36087131946162,149.1724181047628,112,5
29,30,-35.36083460840688,149.1726335500268,116,5
30,31,-35.36079790637587,149.17284899748466,120,5
31,32,-35.3607612139632,149.17306444728683,124,5
32,33,-35.3607245318439,149.17327989960393,128,5
33,34,-35.360687860790975,149.17349535463129,132,5
34,35,-35.360651201698275,149.17371081259472,136,5
35,36,-35.36061455561135,149.1739262737583,140,5
36,37,-35.36057792376971,149.17414173843488,144,5
37,38,-35.3605413076663,149.17435720700118,148,5
38,39,-35.36050470913416,149.17457267991952,152,5
39,40,-35.36046813047778,149.17478815777073,156,5
40,41,-35.3604315746819,149.17500364130674,160,5
41,42,-35.36039504576527,149.1752191315392,164,5
42,43,-35.36035854943132,149.1754346299027,168,5
43,44,-35.36032209440978,149.17565013859075,172,5
44,45,-35.36028569573984,149.1758656613775,176,5
