,Pt_No,latitude,longitude,time,speed
0,1,-35.361751628993844,149.16626413282316,0,5
1,2,-35.36171477642362,149.16647954486623,4,5
2,3,-35.3616779270045,149.16669495761488,8,5
3,4,-35.36164108081697,149.1669103710896,12,5
4,5,-35.36160423794532,149.1671257853118,16,5
5,6,-35.361567398477796,149.16734120030395,20,5
6,7,-35.36153056250705,149.1675566160895,24,5
7,8,-35.36149373013032,149.16777203269325,28,5
8,9,-35.361456901449884,149.1679874501411,32,5
9,10,-35.36142007657342,149.16820286846044,36,5
10,11,-35.36138325561444,149.16841828768008,40,5
11,12,-35.361346438692834,149.16863370783042,44,5
12,13,-35.36130962593531,149.16884912894366,48,5
13,14,-35.3612728174761,149.16906455105388,52,5
14,15,-35.361236013457656,149.1692799741972,56,5
15,16,-35.361199214031316,149.16949539841204,60,5
16,17,-35.36116241935825,149.1697108237393,64,5
17,18,-35.3611256296105,149.16992625022257,68,5
18,19,-35.36108884497195,149.17014167790856,72,5
19,20,-35.3610520656398,149.17035710684718,76,5
20,21,-35.36101529182587,149.17057253709223,80,5
21,22,-35.36097852375846,149.1707879687015,84,5
22,23,-35.360941761684266,149.17100340173752,88,5
23,24,-35.36090500587069,149.17121883626805,92,5
24,25,-35.360868256608576,149.17143427236678,96,5
25,26,-35.36083151421545,149.1716497101141,100,5
26,27,-35.36079477903937,149.17186514959818,104,5
27,28,-35.36075805146358,149.17208059091598,108,5
28,29,-35.36072133191203,149.17229603417485,112,5
29,30,-35.3606846208564,149.1725114794941,116,5
30,31,-35.36064791882446,149.1727269270072,120,5
31,32,-35.360611226410875,149.1729423768646,124,5
32,33,-35.360574544290664,149.1731578292369,128,5
33,34,-35.360537873236815,149.17337328431947,132,5
34,35,-35.3605012141432,149.1735887423381,136,5
35,36,-35.36046456805537,149.17380420355684,140,5
36,37,-35.36042793621281,149.1740196682886,144,5
37,38,-35.360391320108484,149.17423513691,148,5
38,39,-35.36035472157544,149.1744506098834,152,5
39,40,-35.36031814291814,149.17466608778972,156,5
40,41,-35.36028158712135,149.17488157138072,160,5
41,42,-35.36024505820381,149.17509706166817,164,5
42,43,-35.36020856186894,149.1753125600866,168,5
43,44,-35.36017210684648,149.17552806882955,172,5
44,45,-35.36013570817564,149.17574359167108,176,5
