,Pt_No,latitude,longitude,time,speed
0,1,-35.36092670656122,149.1647382841963,0,5
1,2,-35.36088985398593,149.1649536969327,4,5
2,3,-35.36085300456173,149.16516911037468,8,5
3,4,-35.36081615836914,149.16538452454267,12,5
4,5,-35.360779315492415,149.16559993945808,16,5
5,6,-35.36074247601983,149.16581535514334,20,5
6,7,-35.36070564004401,149.166030771622,24,5
7,8,-35.3606688076622,149.1662461889187,28,5
8,9,-35.36063197897669,149.16646160705952,32,5
9,10,-35.36059515409515,149.16667702607168,36,5
10,11,-35.360558333131124,149.16689244598408,40,5
11,12,-35.360521516204436,149.16710786682714,44,5
12,13,-35.36048470344184,149.16732328863299,48,5
13,14,-35.36044789497758,149.16753871143575,52,5
14,15,-35.36041109095405,149.16775413527154,56,5
15,16,-35.360374291522646,149.16796956017876,60,5
16,17,-35.36033749684452,149.16818498619827,64,5
17,18,-35.360300707091696,149.16840041337375,68,5
18,19,-35.36026392244809,149.1686158417518,72,5
19,20,-35.36022714311087,149.1688312713824,76,5
20,21,-35.36019036929189,149.16904670231932,80,5
21,22,-35.360153601219416,149.16926213462034,84,5
22,23,-35.36011683914016,149.16947756834801,88,5
23,24,-35.36008008332152,149.1696930035701,92,5
24,25,-35.36004333405434,149.16990844036025,96,5
25,26,-35.36000659165616,149.17012387879885,100,5
26,27,-35.35996985647502,149.17033931897404,104,5
27,28,-35.35993312889417,149.17055476098287,108,5
28,29,-35.35989640933758,149.17077020493258,112,5
29,30,-35.35985969827689,149.1709856509425,116,5
30,31,-35.3598229962399,149.17120109914615,120,5
31,32,-35.35978630382125,149.17141654969387,124,5
32,33,-35.359749621696004,149.17163200275633,128,5
33,34,-35.35971295063711,149.17184745852882,132,5
34,35,-35.35967629153844,149.17206291723713,136,5
35,36,-35.359639645445554,149.17227837914533,140,5
36,37,-35.359603013597955,149.17249384456625,144,5
37,38,-35.35956639748861,149.17270931387657,148,5
38,39,-35.359529798950504,149.17292478753853,152,5
39,40,-35.35949322028818,149.173140266133,156,5
40,41,-35.35945666448635,149.1733557504118,160,5
41,42,-35.35942013556379,149.17357124138647,164,5
42,43,-35.35938363922389,149.17378674049152,168,5
43,44,-35.35934718419642,149.17400224992033,172,5
44,45,-35.35931078552056,149.17421777344666,176,5
