,Pt_No,latitude,longitude,time,speed
0,1,-35.360701712769895,149.16540964049352,0,5
1,2,-35.36066486019323,149.1656250529249,4,5
2,3,-35.36062801076768,149.16584046606184,8,5
3,4,-35.36059116457372,149.1660558799248,12,5
4,5,-35.36055432169562,149.16627129453525,16,5
5,6,-35.36051748222169,149.16648670991555,20,5
6,7,-35.36048064624449,149.1667021260893,24,5
7,8,-35.36044381386133,149.16691754308113,28,5
8,9,-35.36040698517446,149.16713296091706,32,5
9,10,-35.36037016029156,149.1673483796244,36,5
10,11,-35.36033333932616,149.16756379923203,40,5
11,12,-35.360296522398116,149.16777921977032,44,5
12,13,-35.36025970963416,149.16799464127146,48,5
13,14,-35.360222901168534,149.16821006376955,52,5
14,15,-35.36018609714365,149.16842548730068,56,5
15,16,-35.360149297710876,149.16864091190325,60,5
16,17,-35.360112503031395,149.16885633761825,64,5
17,18,-35.36007571327721,149.16907176448916,68,5
18,19,-35.360038928632235,149.16928719256273,72,5
19,20,-35.360002149293656,149.1695026218889,76,5
20,21,-35.35996537547331,149.1697180525214,80,5
21,22,-35.35992860739948,149.16993348451808,84,5
22,23,-35.35989184531886,149.17014891794148,88,5
23,24,-35.359855089498865,149.1703643528593,92,5
24,25,-35.35981834023033,149.17057978934525,96,5
25,26,-35.35978159783078,149.17079522747974,100,5
26,27,-35.3597448626483,149.17101066735086,104,5
27,28,-35.35970813506608,149.17122610905568,108,5
28,29,-35.35967141550813,149.17144155270145,112,5
29,30,-35.35963470444608,149.1716569984075,116,5
30,31,-35.359598002407736,149.17187244630736,120,5
31,32,-35.35956130998773,149.17208789655135,124,5
32,33,-35.35952462786112,149.17230334931017,128,5
33,34,-35.359487956800876,149.17251880477912,132,5
34,35,-35.35945129770085,149.172734263184,136,5
35,36,-35.35941465160661,149.17294972478888,140,5
36,37,-35.359378019757656,149.1731651899066,144,5
37,38,-35.35934140364694,149.17338065891383,148,5
38,39,-35.35930480510749,149.17359613227285,152,5
39,40,-35.35926822644381,149.17381161056457,156,5
40,41,-35.35923167064063,149.17402709454078,160,5
41,42,-35.35919514171671,149.1742425852131,164,5
42,43,-35.359158645375466,149.17445808401607,168,5
43,44,-35.359122190346646,149.17467359314313,172,5
44,45,-35.359085791669436,149.17488911636815,176,5
