,Pt_No,latitude,longitude,time,speed
0,1,-35.36130166566008,149.16589791911557,0,5
1,2,-35.36126481308708,149.16611333132505,4,5
2,3,-35.36122796366521,149.1663287442401,8,5
3,4,-35.36119111747493,149.16654415788125,12,5
4,5,-35.36115427460051,149.16675957226983,16,5
5,6,-35.36111743513025,149.16697498742832,20,5
6,7,-35.36108059915672,149.16719040338026,24,5
7,8,-35.361043766777236,149.16740582015032,28,5
8,9,-35.361006938094036,149.1676212377645,32,5
9,10,-35.360970113214826,149.16783665625016,36,5
10,11,-35.36093329225309,149.16805207563607,40,5
11,12,-35.360896475328715,149.16826749595268,44,5
12,13,-35.360859662568444,149.16848291723215,48,5
13,14,-35.36082285410649,149.1686983395086,52,5
14,15,-35.36078605008527,149.16891376281816,56,5
15,16,-35.36074925065618,149.1691291871992,60,5
16,17,-35.36071245598037,149.16934461269258,64,5
17,18,-35.360675666229845,149.169560039342,68,5
18,19,-35.360638881588564,149.16977546719409,72,5
19,20,-35.36060210225364,149.16999089629883,76,5
20,21,-35.36056532843697,149.17020632670992,80,5
21,22,-35.3605285603668,149.17042175848522,84,5
22,23,-35.36049179828985,149.17063719168726,88,5
23,24,-35.360455042473525,149.17085262638378,92,5
24,25,-35.360418293208646,149.1710680626485,96,5
25,26,-35.36038155081277,149.17128350056174,100,5
26,27,-35.36034481563395,149.17149894021168,104,5
27,28,-35.360308088055405,149.17171438169538,108,5
28,29,-35.36027136850112,149.17192982512006,112,5
29,30,-35.360234657442724,149.17214527060509,116,5
30,31,-35.36019795540804,149.17236071828395,120,5
31,32,-35.360161262991696,149.17257616830705,124,5
32,33,-35.36012458086875,149.172791620845,128,5
33,34,-35.36008790981215,149.17300707609314,132,5
34,35,-35.3600512507158,149.17322253427733,136,5
35,36,-35.36001460462521,149.17343799566157,140,5
36,37,-35.359977972779916,149.17365346055874,144,5
37,38,-35.35994135667284,149.1738689293455,148,5
38,39,-35.35990475813706,149.17408440248417,152,5
39,40,-35.359868179477026,149.17429988055565,156,5
40,41,-35.35983162367748,149.17451536431176,160,5
41,42,-35.35979509475721,149.17473085476416,164,5
42,43,-35.35975859841962,149.1749463533474,168,5
43,44,-35.359722143394436,149.17516186225495,172,5
44,45,-35.359685744720856,149.17537738526084,176,5
