,Pt_No,latitude,longitude,time,speed
0,1,-35.360401735562625,149.16516550389161,0,5
1,2,-35.36036488298412,149.16538091643392,4,5
2,3,-35.360328033556726,149.16559632968182,8,5
3,4,-35.360291187360936,149.16581174365572,12,5
4,5,-35.36025434448101,149.16602715837706,16,5
5,6,-35.360217505005224,149.16624257386826,20,5
6,7,-35.36018066902619,149.16645799015288,24,5
7,8,-35.36014383664119,149.16667340725562,28,5
8,9,-35.36010700795248,149.16688882520242,32,5
9,10,-35.36007018306775,149.16710424402063,36,5
10,11,-35.36003336210052,149.16731966373908,40,5
11,12,-35.35999654517064,149.1675350843882,44,5
12,13,-35.359959732404846,149.16775050600017,48,5
13,14,-35.35992292393738,149.16796592860905,52,5
14,15,-35.35988611991066,149.168181352251,56,5
15,16,-35.35984932047606,149.16839677696436,60,5
16,17,-35.359812525794744,149.1686122027901,64,5
17,18,-35.35977573603871,149.16882762977176,68,5
18,19,-35.35973895139192,149.16904305795606,72,5
19,20,-35.3597021720515,149.16925848739297,76,5
20,21,-35.359665398229325,149.16947391813616,80,5
21,22,-35.359628630153665,149.16968935024354,84,5
22,23,-35.35959186807121,149.16990478377758,88,5
23,24,-35.35955511224938,149.17012021880606,92,5
24,25,-35.35951836297901,149.17033565540265,96,5
25,26,-35.359481620577625,149.17055109364773,100,5
26,27,-35.35944488539331,149.17076653362943,104,5
27,28,-35.35940815780926,149.17098197544482,108,5
28,29,-35.35937143824948,149.17119741920112,112,5
29,30,-35.359334727185605,149.1714128650177,116,5
30,31,-35.359298025145435,149.171628313028,120,5
31,32,-35.35926133272359,149.1718437633825,124,5
32,33,-35.359224650595145,149.17205921625174,128,5
33,34,-35.359187979533075,149.17227467183105,132,5
34,35,-35.35915132043123,149.1724901303463,136,5
35,36,-35.35911467433517,149.17270559206148,140,5
36,37,-35.35907804248438,149.17292105728947,144,5
37,38,-35.35904142637183,149.17313652640692,148,5
38,39,-35.359004827830574,149.17335199987613,152,5
39,40,-35.35896824916506,149.17356747827796,156,5
40,41,-35.358931693360056,149.17378296236419,160,5
41,42,-35.358895164434315,149.17399845314648,164,5
42,43,-35.358858668091266,149.1742139520593,168,5
43,44,-35.35882221306062,149.17442946129609,172,5
44,45,-35.35878581438159,149.1746449846307,176,5
