,Pt_No,latitude,longitude,time,speed
0,1,-35.360776715006104,149.16486034753072,0,5
1,2,-35.360739862429895,149.1650757602117,4,5
2,3,-35.36070301300479,149.16529117359823,8,5
3,4,-35.36066616681128,149.16550658771075,12,5
4,5,-35.36062932393363,149.1657220025707,16,5
5,6,-35.36059248446013,149.16593741820054,20,5
6,7,-35.360555648483405,149.16615283462374,24,5
7,8,-35.36051881610068,149.16636825186504,28,5
8,9,-35.36048198741425,149.1665836699504,32,5
9,10,-35.36044516253181,149.16679908890717,36,5
10,11,-35.36040834156685,149.16701450876414,40,5
11,12,-35.36037152463925,149.16722992955178,44,5
12,13,-35.36033471187575,149.16744535130226,48,5
13,14,-35.36029790341056,149.1676607740496,52,5
14,15,-35.360261099386136,149.16787619783,56,5
15,16,-35.360224299953806,149.16809162268183,60,5
16,17,-35.36018750527478,149.168307048646,64,5
17,18,-35.36015071552104,149.16852247576608,68,5
18,19,-35.36011393087652,149.16873790408877,72,5
19,20,-35.360077151538384,149.16895333366406,76,5
20,21,-35.360040377718484,149.16916876454562,80,5
21,22,-35.360003609645105,149.1693841967913,84,5
22,23,-35.35996684756494,149.16959963046367,88,5
23,24,-35.359930091745376,149.16981506563044,92,5
24,25,-35.35989334247729,149.17003050236525,96,5
25,26,-35.35985660007819,149.17024594074857,100,5
26,27,-35.35981986489615,149.1704613808685,104,5
27,28,-35.35978313731439,149.17067682282206,108,5
28,29,-35.35974641775689,149.1708922667165,112,5
29,30,-35.35970970669528,149.1711077126712,116,5
30,31,-35.35967300465739,149.17132316081958,120,5
31,32,-35.359636312237825,149.1715386113121,124,5
32,33,-35.35959963011166,149.17175406431934,128,5
33,34,-35.359562959051864,149.17196952003664,132,5
34,35,-35.35952629995228,149.17218497868978,136,5
35,36,-35.359489653858496,149.17240044054284,140,5
36,37,-35.35945302200997,149.17261590590866,144,5
37,38,-35.35941640589971,149.17283137516384,148,5
38,39,-35.35937980736071,149.17304684877075,152,5
39,40,-35.35934322869747,149.17326232731017,156,5
40,41,-35.35930667289473,149.17347781153396,160,5
41,42,-35.359270143971266,149.17369330245367,164,5
42,43,-35.35923364763047,149.17390880150379,168,5
43,44,-35.35919719260208,149.17412431087772,172,5
44,45,-35.35916079392532,149.17433983434927,176,5
