,Pt_No,latitude,longitude,time,speed
0,1,-35.362396950063776,149.1645190230886,0,5
1,2,-35.36236009749745,149.16473443592463,4,5
2,3,-35.36232324808224,149.1649498494662,8,5
3,4,-35.36228640189863,149.1651652637338,12,5
4,5,-35.36224955903088,149.1653806787488,16,5
5,6,-35.36221271956727,149.1655960945336,20,5
6,7,-35.36217588360042,149.16581151111183,24,5
7,8,-35.3621390512276,149.1660269285081,28,5
8,9,-35.362102222551066,149.16624234674845,32,5
9,10,-35.362065397678506,149.16645776586014,36,5
10,11,-35.36202857672343,149.16667318587207,40,5
11,12,-35.36199175980572,149.16688860681464,44,5
12,13,-35.36195494705211,149.16710402872,48,5
13,14,-35.361918138596806,149.16731945162223,52,5
14,15,-35.36188133458226,149.1675348755575,56,5
15,16,-35.36184453515982,149.16775030056417,60,5
16,17,-35.36180774049066,149.16796572668315,64,5
17,18,-35.3617709507468,149.16818115395805,68,5
18,19,-35.36173416611216,149.16839658243552,72,5
19,20,-35.3616973867839,149.16861201216554,76,5
20,21,-35.36166061297387,149.16882744320185,80,5
21,22,-35.36162384491036,149.16904287560226,84,5
22,23,-35.36158708284007,149.1692583094293,88,5
23,24,-35.361550327030386,149.16947374475072,92,5
24,25,-35.36151357777217,149.1696891816402,96,5
25,26,-35.36147683538294,149.1699046201781,100,5
26,27,-35.36144010021076,149.1701200604526,104,5
27,28,-35.36140337263886,149.17033550256068,108,5
28,29,-35.36136665309122,149.17055094660964,112,5
29,30,-35.361329942039454,149.17076639271878,116,5
30,31,-35.36129324001143,149.17098184102161,120,5
31,32,-35.36125654760172,149.1711972916685,124,5
32,33,-35.3612198654854,149.1714127448301,128,5
33,34,-35.36118319443545,149.1716282007017,132,5
34,35,-35.3611465353457,149.1718436595091,136,5
35,36,-35.36110988926176,149.17205912151636,140,5
36,37,-35.36107325742309,149.1722745870363,144,5
37,38,-35.361036641322656,149.17249005644555,148,5
38,39,-35.36100004279348,149.17270553020646,152,5
39,40,-35.36096346414007,149.17292100889978,156,5
40,41,-35.360926908347146,149.17313649327735,160,5
41,42,-35.36089037943347,149.17335198435077,164,5
42,43,-35.36085388310248,149.17356748355448,168,5
43,44,-35.3608174280839,149.1737829930818,172,5
44,45,-35.360781029416906,149.1739985167065,176,5
