,Pt_No,latitude,longitude,time,speed
0,1,-35.36100168946905,149.1656537789015,0,5
1,2,-35.360964836894226,149.1658691912219,4,5
2,3,-35.360927987470504,149.16608460424794,8,5
3,4,-35.360891141278394,149.166300018,12,5
4,5,-35.36085429840214,149.1665154324995,16,5
5,6,-35.36081745893003,149.1667308477689,20,5
6,7,-35.36078062295467,149.16694626383173,24,5
7,8,-35.360743790573345,149.1671616807127,28,5
8,9,-35.36070696188831,149.16737709843775,32,5
9,10,-35.360670137007254,149.16759251703425,36,5
10,11,-35.36063331604369,149.167807936531,40,5
11,12,-35.36059649911747,149.16802335695846,44,5
12,13,-35.36055968635536,149.16823877834878,48,5
13,14,-35.360522877891576,149.16845420073605,52,5
14,15,-35.36048607386852,149.1686696241564,56,5
15,16,-35.36044927443758,149.1688850486482,60,5
16,17,-35.360412479759944,149.1691004742524,64,5
17,18,-35.36037569000759,149.16931590101257,68,5
18,19,-35.36033890536445,149.1695313289754,72,5
19,20,-35.36030212602771,149.16974675819085,76,5
20,21,-35.3602653522092,149.16996218871265,80,5
21,22,-35.3602285841372,149.17017762059865,84,5
22,23,-35.36019182205842,149.17039305391137,88,5
23,24,-35.36015506624025,149.17060848871853,92,5
24,25,-35.36011831697355,149.17082392509386,96,5
25,26,-35.36008157457583,149.17103936311773,100,5
26,27,-35.36004483939518,149.17125480287828,104,5
27,28,-35.36000811181479,149.17147024447252,108,5
28,29,-35.35997139225868,149.17168568800776,112,5
29,30,-35.35993468119845,149.17190113360328,116,5
30,31,-35.35989797916195,149.17211658139266,120,5
31,32,-35.35986128674377,149.1723320315262,124,5
32,33,-35.35982460461899,149.1725474841746,128,5
33,34,-35.35978793356057,149.17276293953313,132,5
34,35,-35.359751274462376,149.17297839782768,136,5
35,36,-35.359714628369964,149.17319385932225,140,5
36,37,-35.35967799652284,149.17340932432967,144,5
37,38,-35.359641380413954,149.17362479322668,148,5
38,39,-35.35960478187633,149.17384026647554,152,5
39,40,-35.35956820321447,149.17405574465712,156,5
40,41,-35.359531647413114,149.17427122852328,160,5
41,42,-35.35949511849101,149.17448671908565,164,5
42,43,-35.35945862215159,149.17470221777873,168,5
43,44,-35.35942216712459,149.17491772679605,172,5
44,45,-35.35938576844921,149.17513324991154,176,5
