,Pt_No,latitude,longitude,time,speed
0,1,-35.36182662277164,149.1663251688362,0,5
1,2,-35.36178977020188,149.16654058085152,4,5
2,3,-35.361752920783225,149.16675599357245,8,5
3,4,-35.36171607459617,149.16697140701942,12,5
4,5,-35.361679231724956,149.1671868212139,16,5
5,6,-35.36164239225791,149.1674022361783,20,5
6,7,-35.36160555628762,149.16761765193615,24,5
7,8,-35.36156872391135,149.16783306851215,28,5
8,9,-35.36153189523136,149.1680484859323,32,5
9,10,-35.361495070355346,149.16826390422392,36,5
10,11,-35.36145824939685,149.16847932341582,40,5
11,12,-35.361421432475694,149.16869474353845,44,5
12,13,-35.36138461971863,149.168910164624,48,5
13,14,-35.3613478112599,149.1691255867065,52,5
14,15,-35.361311007241895,149.16934100982215,56,5
15,16,-35.36127420781601,149.16955643400928,60,5
16,17,-35.36123741314342,149.16977185930884,64,5
17,18,-35.361200623396115,149.16998728576442,68,5
18,19,-35.36116383875803,149.1702027134227,72,5
19,20,-35.36112705942634,149.17041814233366,76,5
20,21,-35.361090285612875,149.170633572551,80,5
21,22,-35.36105351754592,149.1708490041326,84,5
22,23,-35.361016755472185,149.17106443714096,88,5
23,24,-35.36097999965906,149.17127987164383,92,5
24,25,-35.360943250397405,149.1714953077149,96,5
25,26,-35.36090650800473,149.17171074543458,100,5
26,27,-35.360869772829126,149.171926184891,104,5
27,28,-35.360833045253784,149.17214162618117,108,5
28,29,-35.36079632570271,149.17235706941239,112,5
29,30,-35.36075961464751,149.172572514704,116,5
30,31,-35.360722912616055,149.1727879621895,120,5
31,32,-35.360686220202915,149.17300341201928,124,5
32,33,-35.36064953808316,149.17321886436397,128,5
33,34,-35.36061286702977,149.17343431941893,132,5
34,35,-35.36057620793662,149.17364977740996,136,5
35,36,-35.36053956184924,149.17386523860114,140,5
36,37,-35.360502930007144,149.1740807033053,144,5
37,38,-35.36046631390328,149.17429617189916,148,5
38,39,-35.36042971537068,149.174511644845,152,5
39,40,-35.360393136713846,149.17472712272377,156,5
40,41,-35.360356580917504,149.1749426062873,160,5
41,42,-35.360320052000425,149.17515809654725,164,5
42,43,-35.36028355566601,149.1753735949382,168,5
43,44,-35.360247100644,149.17558910365372,172,5
44,45,-35.36021070197363,149.17580462646785,176,5
