,Pt_No,latitude,longitude,time,speed
0,1,-35.36212659756526,149.1665693140172,0,5
1,2,-35.36208974499734,149.16678472592156,4,5
2,3,-35.36205289558052,149.16700013853153,8,5
3,4,-35.362016049395315,149.16721555186757,12,5
4,5,-35.361979206525945,149.16743096595113,16,5
5,6,-35.36194236706073,149.1676463808046,20,5
6,7,-35.36190553109228,149.16786179645155,24,5
7,8,-35.36186869871784,149.16807721291667,28,5
8,9,-35.3618318700397,149.16829263022592,32,5
9,10,-35.36179504516554,149.16850804840666,36,5
10,11,-35.36175822420886,149.16872346748772,40,5
11,12,-35.36172140728955,149.1689388874995,44,5
12,13,-35.36168459453433,149.1691543084742,48,5
13,14,-35.36164778607743,149.16936973044588,52,5
14,15,-35.361610982061265,149.1695851534507,56,5
15,16,-35.36157418263722,149.16980057752707,60,5
16,17,-35.36153738796647,149.17001600271584,64,5
17,18,-35.36150059822101,149.17023142906066,68,5
18,19,-35.361463813584756,149.17044685660818,72,5
19,20,-35.361427034254895,149.1706622854084,76,5
20,21,-35.361390260443265,149.17087771551502,80,5
21,22,-35.36135349237816,149.17109314698592,84,5
22,23,-35.36131673030626,149.1713085798836,88,5
23,24,-35.36127997449498,149.1715240142758,92,5
24,25,-35.36124322523514,149.17173945023623,96,5
25,26,-35.36120648284432,149.1719548878453,100,5
26,27,-35.36116974767053,149.17217032719108,104,5
27,28,-35.36113302009702,149.1723857683707,108,5
28,29,-35.36109630054779,149.17260121149138,112,5
29,30,-35.36105958949444,149.17281665667247,116,5
30,31,-35.36102288746479,149.17303210404745,120,5
31,32,-35.3609861950535,149.17324755376677,124,5
32,33,-35.360949512935576,149.17346300600101,128,5
33,34,-35.36091284188402,149.17367846094558,132,5
34,35,-35.360876182792694,149.17389391882622,136,5
35,36,-35.36083953670715,149.17410937990707,140,5
36,37,-35.36080290486688,149.17432484450094,144,5
37,38,-35.36076628876484,149.17454031298456,148,5
38,39,-35.36072969023407,149.17475578582025,152,5
39,40,-35.36069311157907,149.1749712635889,156,5
40,41,-35.360656555784544,149.17518674704235,160,5
41,42,-35.360620026869285,149.17540223719232,164,5
42,43,-35.3605835305367,149.1756177354734,168,5
43,44,-35.36054707551653,149.17583324407914,172,5
44,45,-35.36051067684796,149.1760487667837,176,5
