,Pt_No,latitude,longitude,time,speed
0,1,-35.36145165356503,149.1660199898999,0,5
1,2,-35.36141480099296,149.1662354020539,4,5
2,3,-35.36137795157201,149.1664508149135,8,5
3,4,-35.36134110538265,149.16666622849917,12,5
4,5,-35.361304262509144,149.1668816428323,16,5
5,6,-35.36126742303979,149.16709705793534,20,5
6,7,-35.361230587067205,149.16731247383183,24,5
7,8,-35.361193754688635,149.16752789054644,28,5
8,9,-35.36115692600635,149.1677433081052,32,5
9,10,-35.361120101128044,149.16795872653537,36,5
10,11,-35.36108328016724,149.16817414586586,40,5
11,12,-35.361046463243795,149.16838956612705,44,5
12,13,-35.36100965048444,149.16860498735113,48,5
13,14,-35.36097284202341,149.16882040957216,52,5
14,15,-35.360936038003096,149.1690358328263,56,5
15,16,-35.36089923857492,149.16925125715193,60,5
16,17,-35.360862443900025,149.16946668258998,64,5
17,18,-35.36082565415042,149.169682109184,68,5
18,19,-35.36078886951005,149.16989753698073,72,5
19,20,-35.36075209017606,149.1701129660301,76,5
20,21,-35.360715316360285,149.17032839638583,80,5
21,22,-35.360678548291055,149.1705438281058,84,5
22,23,-35.36064178621502,149.1707592612525,88,5
23,24,-35.36060503039961,149.1709746958937,92,5
24,25,-35.360568281135656,149.17119013210308,96,5
25,26,-35.360531538740695,149.17140556996102,100,5
26,27,-35.36049480356279,149.17162100955565,104,5
27,28,-35.360458075985164,149.17183645098405,108,5
28,29,-35.3604213564318,149.17205189435347,112,5
29,30,-35.36038464537432,149.17226733978325,116,5
30,31,-35.36034794334055,149.17248278740686,120,5
31,32,-35.36031125092513,149.1726982373747,124,5
32,33,-35.36027456880308,149.17291368985747,128,5
33,34,-35.36023789774741,149.1731291450504,132,5
34,35,-35.36020123865196,149.1733446031794,136,5
35,36,-35.36016459256229,149.17356006450848,140,5
36,37,-35.360127960717904,149.1737755293505,144,5
37,38,-35.36009134461175,149.17399099808216,148,5
38,39,-35.36005474607688,149.17420647116575,152,5
39,40,-35.360018167417756,149.17442194918218,156,5
40,41,-35.35998161161913,149.17463743288326,160,5
41,42,-35.35994508269977,149.17485292328067,164,5
42,43,-35.35990858636308,149.17506842180896,168,5
43,44,-35.359872131338804,149.17528393066166,172,5
44,45,-35.35983573266615,149.17549945361276,176,5
