,Pt_No,latitude,longitude,time,speed
0,1,-35.36062672332397,149.1649824104137,0,5
1,2,-35.36058987074684,149.1651978230392,4,5
2,3,-35.36055302132082,149.16541323637028,8,5
3,4,-35.3605161751264,149.16562865042735,12,5
4,5,-35.36047933224784,149.16584406523185,16,5
5,6,-35.36044249277343,149.16605948080624,20,5
6,7,-35.36040565679577,149.16627489717402,24,5
7,8,-35.36036882441214,149.16649031435986,28,5
8,9,-35.3603319957248,149.16670573238983,32,5
9,10,-35.36029517084144,149.16692115129115,36,5
10,11,-35.36025834987557,149.16713657109273,40,5
11,12,-35.360221532947065,149.16735199182497,44,5
12,13,-35.360184720182644,149.16756741352003,48,5
13,14,-35.36014791171655,149.16778283621198,52,5
14,15,-35.360111107691196,149.167998259937,56,5
15,16,-35.360074308257964,149.16821368473347,60,5
16,17,-35.360037513578014,149.16842911064225,64,5
17,18,-35.36000072382336,149.16864453770697,68,5
18,19,-35.35996393917793,149.1688599659743,72,5
19,20,-35.359927159838875,149.16907539549422,76,5
20,21,-35.35989038601807,149.16929082632043,80,5
21,22,-35.35985361794378,149.1695062585108,84,5
22,23,-35.3598168558627,149.16972169212784,88,5
23,24,-35.35978010004223,149.16993712723928,92,5
24,25,-35.35974335077323,149.17015256391883,96,5
25,26,-35.359706608373216,149.17036800224685,100,5
26,27,-35.35966987319027,149.17058344231148,104,5
27,28,-35.359633145607596,149.17079888420974,108,5
28,29,-35.35959642604917,149.17101432804895,112,5
29,30,-35.35955971498666,149.1712297739484,116,5
30,31,-35.359523012947854,149.17144522204157,120,5
31,32,-35.35948632052739,149.17166067247885,124,5
32,33,-35.35944963840031,149.1718761254309,128,5
33,34,-35.359412967339594,149.172091581093,132,5
34,35,-35.359376308239106,149.172307039691,136,5
35,36,-35.35933966214441,149.17252250148888,140,5
36,37,-35.359303030294996,149.1727379667996,144,5
37,38,-35.35926641418381,149.1729534359997,148,5
38,39,-35.3592298156439,149.1731689095515,152,5
39,40,-35.35919323697976,149.17338438803588,156,5
40,41,-35.35915668117612,149.17359987220465,160,5
41,42,-35.35912015225173,149.1738153630694,164,5
42,43,-35.359083655910034,149.1740308620646,168,5
43,44,-35.359047200880745,149.17424637138367,172,5
44,45,-35.35901080220307,149.17446189480043,176,5
