,Pt_No,latitude,longitude,time,speed
0,1,-35.36055172743528,149.16504344168587,0,5
1,2,-35.360514874857685,149.16525885428365,4,5
2,3,-35.360478025431206,149.165474267587,8,5
3,4,-35.360441179236325,149.16568968161636,12,5
4,5,-35.36040433635732,149.16590509639312,16,5
5,6,-35.36036749688245,149.1661205119398,20,5
6,7,-35.36033066090433,149.16633592827984,24,5
7,8,-35.36029382852024,149.166551345438,28,5
8,9,-35.36025699983245,149.16676676344022,32,5
9,10,-35.36022017494863,149.16698218231386,36,5
10,11,-35.36018335398231,149.16719760208773,40,5
11,12,-35.360146537053346,149.16741302279226,44,5
12,13,-35.36010972428846,149.1676284444596,48,5
13,14,-35.36007291582191,149.16784386712388,52,5
14,15,-35.360036111796106,149.1680592908212,56,5
15,16,-35.35999931236241,149.16827471558994,60,5
16,17,-35.359962517682014,149.16849014147104,64,5
17,18,-35.3599257279269,149.1687055685081,68,5
18,19,-35.359888943281014,149.16892099674774,72,5
19,20,-35.35985216394151,149.16913642624,76,5
20,21,-35.35981539012024,149.16935185703855,80,5
21,22,-35.359778622045496,149.16956728920124,84,5
22,23,-35.359741859963954,149.16978272279061,88,5
23,24,-35.359705104143025,149.16999815787443,92,5
24,25,-35.35966835487358,149.1702135945263,96,5
25,26,-35.35963161247311,149.1704290328267,100,5
26,27,-35.359594877289695,149.17064447286367,104,5
27,28,-35.35955814970657,149.1708599147343,108,5
28,29,-35.3595214301477,149.17107535854586,112,5
29,30,-35.359484719084726,149.17129080441768,116,5
30,31,-35.359448017045466,149.17150625248325,120,5
31,32,-35.35941132462454,149.17172170289294,124,5
32,33,-35.35937464249701,149.17193715581737,128,5
33,34,-35.35933797143584,149.17215261145188,132,5
34,35,-35.35930131233489,149.1723680700223,136,5
35,36,-35.35926466623975,149.1725835317926,140,5
36,37,-35.35922803438987,149.17279899707574,144,5
37,38,-35.35919141827824,149.17301446624828,148,5
38,39,-35.359154819737874,149.17322993977257,152,5
39,40,-35.35911824107328,149.17344541822942,156,5
40,41,-35.359081685269174,149.1736609023707,160,5
41,42,-35.35904515634435,149.17387639320796,164,5
42,43,-35.35900866000219,149.17409189217568,168,5
43,44,-35.35897220497246,149.17430740146733,172,5
44,45,-35.35893580629434,149.17452292485672,176,5
