,Pt_No,latitude,longitude,time,speed
0,1,-35.360926695341895,149.16559274413018,0,5
1,2,-35.36088984276662,149.16580815647833,4,5
2,3,-35.360852993342434,149.1660235695321,8,5
3,4,-35.36081614714986,149.16623898331187,12,5
4,5,-35.36077930427315,149.16645439783912,16,5
5,6,-35.36074246480058,149.16666981313625,20,5
6,7,-35.360705628824775,149.1668852292268,24,5
7,8,-35.36066879644298,149.16710064613548,28,5
8,9,-35.360631967757485,149.16731606388828,32,5
9,10,-35.360595142875965,149.1675314825125,36,5
10,11,-35.360558321911945,149.16774690203695,40,5
11,12,-35.360521504985265,149.16796232249212,44,5
12,13,-35.3604846922227,149.16817774391015,48,5
13,14,-35.360447883758454,149.1683931663251,52,5
14,15,-35.36041107973494,149.16860858977316,56,5
15,16,-35.360374280303546,149.16882401429265,60,5
16,17,-35.360337485625436,149.16903943992455,64,5
17,18,-35.36030069587263,149.1692548667124,68,5
18,19,-35.36026391122903,149.1694702947029,72,5
19,20,-35.360227131891826,149.16968572394606,76,5
20,21,-35.360190358072856,149.16990115449553,80,5
21,22,-35.3601535900004,149.1701165864092,84,5
22,23,-35.36011682792117,149.1703320197496,88,5
23,24,-35.36008007210254,149.17054745458444,92,5
24,25,-35.360043322835374,149.1707628909874,96,5
25,26,-35.3600065804372,149.17097832903892,100,5
26,27,-35.35996984525609,149.1711937688271,104,5
27,28,-35.359933117675254,149.171409210449,108,5
28,29,-35.35989639811868,149.17162465401185,112,5
29,30,-35.35985968705799,149.17184009963503,116,5
30,31,-35.359822985021026,149.172055547452,120,5
31,32,-35.3597862926024,149.17227099761317,124,5
32,33,-35.35974961047715,149.17248645028917,128,5
33,34,-35.35971293941829,149.17270190567532,132,5
34,35,-35.35967628031963,149.17291736399744,136,5
35,36,-35.35963963422676,149.1731328255196,140,5
36,37,-35.359603002379174,149.1733482905546,144,5
37,38,-35.359566386269826,149.17356375947915,148,5
38,39,-35.35952978773176,149.17377923275555,152,5
39,40,-35.35949320906944,149.17399471096468,156,5
40,41,-35.35945665326763,149.17421019485835,160,5
41,42,-35.35942012434507,149.1744256854482,164,5
42,43,-35.359383628005205,149.17464118416876,168,5
43,44,-35.359347172977735,149.1748566932135,172,5
44,45,-35.3593107743019,149.17507221635637,176,5
