,Pt_No,latitude,longitude,time,speed
0,1,-35.36047673151482,149.16510447284517,0,5
1,2,-35.36043987893678,149.16531988541522,4,5
2,3,-35.36040302950985,149.16553529869083,8,5
3,4,-35.36036618331451,149.16575071269247,12,5
4,5,-35.36032934043504,149.16596612744152,16,5
5,6,-35.360292500959716,149.16618154296046,20,5
6,7,-35.36025566498114,149.1663969592728,24,5
7,8,-35.360218832596594,149.16661237640324,28,5
8,9,-35.36018200390834,149.16682779437775,32,5
9,10,-35.36014517902406,149.16704321322368,36,5
10,11,-35.36010835805729,149.16725863296983,40,5
11,12,-35.36007154112786,149.16747405364666,44,5
12,13,-35.36003472836253,149.16768947528632,48,5
13,14,-35.35999791989553,149.1679048979229,52,5
14,15,-35.35996111586926,149.1681203215925,56,5
15,16,-35.35992431643511,149.16833574633358,60,5
16,17,-35.35988752175426,149.168551172187,64,5
17,18,-35.359850731998684,149.16876659919637,68,5
18,19,-35.359813947352336,149.16898202740833,72,5
19,20,-35.359777168012386,149.16919745687292,76,5
20,21,-35.35974039419065,149.1694128876438,80,5
21,22,-35.35970362611545,149.16962831977884,84,5
22,23,-35.359666864033464,149.16984375334053,88,5
23,24,-35.35963010821209,149.17005918839666,92,5
24,25,-35.35959335894217,149.1702746250209,96,5
25,26,-35.35955661654124,149.17049006329364,100,5
26,27,-35.359519881357386,149.170705503303,104,5
27,28,-35.359483153773795,149.170920945146,108,5
28,29,-35.35944643421447,149.17113638892994,112,5
29,30,-35.35940972315104,149.17135183477413,116,5
30,31,-35.359373021111324,149.17156728281208,120,5
31,32,-35.35933632868994,149.17178273319414,124,5
32,33,-35.35929964656196,149.17199818609097,128,5
33,34,-35.35926297550034,149.1722136416979,132,5
34,35,-35.35922631639894,149.17242910024072,136,5
35,36,-35.359189670303344,149.17264456198347,140,5
36,37,-35.359153038453,149.17286002723904,144,5
37,38,-35.35911642234092,149.17307549638403,148,5
38,39,-35.3590798238001,149.17329096988078,152,5
39,40,-35.35904324513505,149.17350644831012,156,5
40,41,-35.35900668933049,149.17372193242386,160,5
41,42,-35.35897016040521,149.17393742323364,164,5
42,43,-35.3589336640626,149.17415292217393,168,5
43,44,-35.35889720903241,149.17436843143815,172,5
44,45,-35.358860810353846,149.17458395480014,176,5
