,Pt_No,latitude,longitude,time,speed
0,1,-35.36247048793826,149.16434723780065,0,5
1,2,-35.3624336353724,149.16456265071474,4,5
2,3,-35.36239678595762,149.1647780643344,8,5
3,4,-35.362359939774464,149.16499347868,12,5
4,5,-35.36232309690716,149.16520889377304,16,5
5,6,-35.362286257444005,149.1654243096359,20,5
6,7,-35.362249421477614,149.16563972629214,24,5
7,8,-35.36221258910521,149.16585514376644,28,5
8,9,-35.362175760429125,149.1660705620848,32,5
9,10,-35.36213893555701,149.16628598127448,36,5
10,11,-35.3621021146024,149.16650140136443,40,5
11,12,-35.36206529768514,149.16671682238496,44,5
12,13,-35.362028484931955,149.1669322443683,48,5
13,14,-35.36199167647711,149.16714766734853,52,5
14,15,-35.36195487246301,149.16736309136175,56,5
15,16,-35.36191807304101,149.16757851644635,60,5
16,17,-35.361881278372316,149.16779394264327,64,5
17,18,-35.3618444886289,149.1680093699961,68,5
18,19,-35.3618077039947,149.16822479855148,72,5
19,20,-35.36177092466689,149.16844022835943,76,5
20,21,-35.361734150857316,149.16865565947361,80,5
21,22,-35.361697382794254,149.1688710919519,84,5
22,23,-35.3616606207244,149.1690865258568,88,5
23,24,-35.36162386491516,149.16930196125608,92,5
24,25,-35.361587115657386,149.16951739822338,96,5
25,26,-35.3615503732686,149.16973283683913,100,5
26,27,-35.36151363809687,149.16994827719142,104,5
27,28,-35.36147691052542,149.1701637193773,108,5
28,29,-35.36144019097822,149.17037916350404,112,5
29,30,-35.36140347992691,149.17059460969097,116,5
30,31,-35.36136677789931,149.17081005807154,120,5
31,32,-35.36133008549006,149.17102550879616,124,5
32,33,-35.3612934033742,149.17124096203543,128,5
33,34,-35.361256732324684,149.1714564179847,132,5
34,35,-35.361220073235394,149.17167187686977,136,5
35,36,-35.3611834271519,149.17188733895463,140,5
36,37,-35.361146795313665,149.17210280455217,144,5
37,38,-35.36111017921367,149.172318274039,148,5
38,39,-35.36107358068494,149.1725337478774,152,5
39,40,-35.36103700203197,149.1727492266482,156,5
40,41,-35.361000446239494,149.17296471110322,160,5
41,42,-35.360963917326266,149.173180202254,164,5
42,43,-35.360927420995715,149.173395701535,168,5
43,44,-35.360890965977575,149.17361121113953,172,5
44,45,-35.36085456731102,149.1738267348413,176,5
