,Pt_No,latitude,longitude,time,speed
0,1,-35.36167663518427,149.16620309692303,0,5
1,2,-35.361639782613594,149.16641850899381,4,5
2,3,-35.361602933194014,149.1666339217702,8,5
3,4,-35.36156608700603,149.16684933527267,12,5
4,5,-35.36152924413392,149.1670647495226,16,5
5,6,-35.36149240466593,149.16728016454246,20,5
6,7,-35.36145556869473,149.16749558035576,24,5
7,8,-35.361418736317546,149.1677109969872,28,5
8,9,-35.36138190763663,149.1679264144628,32,5
9,10,-35.36134508275971,149.16814183280985,36,5
10,11,-35.361308261800296,149.1683572520572,40,5
11,12,-35.361271444878206,149.16857267223526,44,5
12,13,-35.36123463212023,149.1687880933762,48,5
13,14,-35.36119782366056,149.16900351551413,52,5
14,15,-35.361161019641656,149.16921893868516,56,5
15,16,-35.36112422021485,149.1694343629277,60,5
16,17,-35.361087425541335,149.16964978828264,64,5
17,18,-35.36105063579313,149.16986521479362,68,5
18,19,-35.36101385115411,149.1700806425073,72,5
19,20,-35.36097707182149,149.1702960714736,76,5
20,21,-35.360940298007115,149.1705115017463,80,5
21,22,-35.36090352993924,149.17072693338324,84,5
22,23,-35.36086676786459,149.17094236644692,88,5
23,24,-35.360830012050556,149.17115780100514,92,5
24,25,-35.36079326278797,149.17137323713152,96,5
25,26,-35.360756520394396,149.1715886749065,100,5
26,27,-35.36071978521787,149.17180411441822,104,5
27,28,-35.3606830576416,149.17201955576368,108,5
28,29,-35.360646338089616,149.1722349990502,112,5
29,30,-35.36060962703351,149.17245044439707,116,5
30,31,-35.36057292500112,149.1726658919378,120,5
31,32,-35.36053623258707,149.17288134182283,124,5
32,33,-35.36049955046641,149.17309679422274,128,5
33,34,-35.36046287941211,149.1733122493329,132,5
34,35,-35.360426220318026,149.1735277073791,136,5
35,36,-35.360389574229735,149.17374316862544,140,5
36,37,-35.36035294238672,149.17395863338476,144,5
37,38,-35.36031632628194,149.17417410203373,148,5
38,39,-35.36027972774843,149.17438957503467,152,5
39,40,-35.360243149090685,149.1746050529685,156,5
40,41,-35.36020659329342,149.17482053658705,160,5
41,42,-35.36017006437544,149.17503602690198,164,5
42,43,-35.36013356804011,149.17525152534787,168,5
43,44,-35.3600971130172,149.17546703411827,172,5
44,45,-35.3600607143459,149.17568255698717,176,5
