,Pt_No,latitude,longitude,time,speed
0,1,-35.36241999739946,149.16405277350327,0,5
1,2,-35.36238314483329,149.16426818655117,4,5
2,3,-35.36234629541821,149.16448360030464,8,5
3,4,-35.362309449234736,149.16469901478405,12,5
4,5,-35.36227260636712,149.16491443001084,16,5
5,6,-35.36223576690366,149.16512984600746,20,5
6,7,-35.36219893093694,149.16534526279744,24,5
7,8,-35.36216209856425,149.1655606804055,28,5
8,9,-35.36212526988785,149.16577609885758,32,5
9,10,-35.36208844501543,149.165991518181,36,5
10,11,-35.362051624060506,149.1662069384046,40,5
11,12,-35.36201480714293,149.16642235955882,44,5
12,13,-35.36197799438945,149.16663778167583,48,5
13,14,-35.361941185934285,149.1668532047897,52,5
14,15,-35.36190438191987,149.16706862893656,56,5
15,16,-35.361867582497574,149.16728405415478,60,5
16,17,-35.36183078782855,149.1674994804853,64,5
17,18,-35.36179399808483,149.1677149079717,68,5
18,19,-35.36175721345032,149.16793033666067,72,5
19,20,-35.36172043412221,149.16814576660212,76,5
20,21,-35.361683660312316,149.16836119784983,80,5
21,22,-35.361646892248935,149.16857663046164,84,5
22,23,-35.36161013017878,149.16879206450002,88,5
23,24,-35.36157337436923,149.16900750003276,92,5
24,25,-35.36153662511115,149.1692229371335,96,5
25,26,-35.36149988272205,149.16943837588263,100,5
26,27,-35.36146314755001,149.16965381636834,104,5
27,28,-35.361426419978244,149.16986925868756,108,5
28,29,-35.36138970043074,149.1700847029476,112,5
29,30,-35.36135298937912,149.17030014926783,116,5
30,31,-35.36131628735124,149.17051559778164,120,5
31,32,-35.361279594941664,149.17073104863948,124,5
32,33,-35.36124291282548,149.17094650201196,128,5
33,34,-35.361206241775655,149.1711619580944,132,5
34,35,-35.36116958268607,149.17137741711252,136,5
35,36,-35.36113293660225,149.17159287933046,140,5
36,37,-35.36109630476371,149.17180834506098,144,5
37,38,-35.36105968866341,149.17202381468076,148,5
38,39,-35.361023090134374,149.17223928865204,152,5
39,40,-35.36098651148111,149.17245476755568,156,5
40,41,-35.3609499556883,149.1726702521434,160,5
41,42,-35.360913426774786,149.17288574342683,164,5
42,43,-35.360876930443915,149.17310124284032,168,5
43,44,-35.36084047542547,149.17331675257722,172,5
44,45,-35.36080407675862,149.17353227641115,176,5
