,Pt_No,latitude,longitude,time,speed
0,1,-35.36239059221635,149.16375359056016,0,5
1,2,-35.36235373964999,149.16396900374403,4,5
2,3,-35.36231689023474,149.16418441763344,8,5
3,4,-35.36228004405108,149.16439983224876,12,5
4,5,-35.36224320118328,149.1646152476115,16,5
5,6,-35.362206361719636,149.16483066374403,20,5
6,7,-35.36216952575274,149.1650460806699,24,5
7,8,-35.36213269337987,149.16526149841383,28,5
8,9,-35.362095864703285,149.16547691700177,32,5
9,10,-35.36205903983069,149.16569233646103,36,5
10,11,-35.36202221887558,149.1659077568205,40,5
11,12,-35.36198540195782,149.16612317811055,44,5
12,13,-35.36194858920416,149.16633860036336,48,5
13,14,-35.36191178074882,149.166554023613,52,5
14,15,-35.36187497673423,149.16676944789563,56,5
15,16,-35.36183817731174,149.16698487324962,60,5
16,17,-35.36180138264254,149.1672002997159,64,5
17,18,-35.36176459289864,149.167415727338,68,5
18,19,-35.36172780826394,149.16763115616266,72,5
19,20,-35.36169102893565,149.16784658623982,76,5
20,21,-35.36165425512558,149.16806201762319,80,5
21,22,-35.361617487062034,149.16827745037062,84,5
22,23,-35.36158072499168,149.16849288454463,88,5
23,24,-35.36154396918196,149.16870832021294,92,5
24,25,-35.361507219923695,149.16892375744925,96,5
25,26,-35.36147047753442,149.16913919633396,100,5
26,27,-35.36143374236221,149.16935463695515,104,5
27,28,-35.36139701479025,149.16957007940988,108,5
28,29,-35.36136029524257,149.1697855238054,112,5
29,30,-35.36132358419077,149.17000097026101,116,5
30,31,-35.36128688216269,149.17021641891026,120,5
31,32,-35.361250189752944,149.17043186990344,124,5
32,33,-35.36121350763658,149.17064732341123,128,5
33,34,-35.36117683658659,149.17086277962892,132,5
34,35,-35.36114017749681,149.17107823878231,136,5
35,36,-35.36110353141281,149.17129370113543,140,5
36,37,-35.361066899574105,149.1715091670011,144,5
37,38,-35.36103028347361,149.17172463675593,148,5
38,39,-35.3609936849444,149.17194011086224,152,5
39,40,-35.36095710629095,149.1721555899008,156,5
40,41,-35.36092055049798,149.17237107462338,160,5
41,42,-35.360884021584276,149.17258656604156,164,5
42,43,-35.360847525253234,149.17280206558968,168,5
43,44,-35.360811070234604,149.17301757546107,172,5
44,45,-35.36077467156756,149.17323309942927,176,5
