,Pt_No,latitude,longitude,time,speed
0,1,-35.361226689290426,149.16449415617288,0,5
1,2,-35.361189836716974,149.1647095690202,4,5
2,3,-35.36115298729461,149.16492498257313,8,5
3,4,-35.36111614110384,149.16514039685202,12,5
4,5,-35.361079298228944,149.16535581187833,16,5
5,6,-35.361042458758185,149.16557122767446,20,5
6,7,-35.36100562278419,149.165786644264,24,5
7,8,-35.36096879040421,149.16600206167158,28,5
8,9,-35.36093196172054,149.16621747992323,32,5
9,10,-35.36089513684084,149.16643289904624,36,5
10,11,-35.360858315878616,149.16664831906948,40,5
11,12,-35.360821498953754,149.16686374002336,44,5
12,13,-35.360784686193,149.16707916194002,48,5
13,14,-35.36074787773057,149.16729458485358,52,5
14,15,-35.36071107370886,149.16751000880012,56,5
15,16,-35.3606742742793,149.1677254338181,60,5
16,17,-35.36063747960299,149.16794085994837,64,5
17,18,-35.36060068985199,149.16815628723458,68,5
18,19,-35.36056390521021,149.16837171572334,72,5
19,20,-35.36052712587482,149.16858714546467,76,5
20,21,-35.36049035205767,149.16880257651226,80,5
21,22,-35.36045358398701,149.16901800892396,84,5
22,23,-35.360416821909595,149.16923344276228,88,5
23,24,-35.36038006609277,149.16944887809498,92,5
24,25,-35.36034331682742,149.16966431499574,96,5
25,26,-35.36030657443106,149.16987975354496,100,5
26,27,-35.36026983925175,149.17009519383072,104,5
27,28,-35.36023311167273,149.17031063595007,108,5
28,29,-35.36019639211796,149.17052608001032,112,5
29,30,-35.36015968105908,149.17074152613074,116,5
30,31,-35.36012297902392,149.17095697444483,120,5
31,32,-35.36008628660709,149.171172425103,124,5
32,33,-35.36004960448366,149.17138787827588,128,5
33,34,-35.360012933426596,149.17160333415873,132,5
34,35,-35.359976274329746,149.1718187929774,136,5
35,36,-35.3599396282387,149.1720342549959,140,5
36,37,-35.359902996392904,149.17224972052708,144,5
37,38,-35.35986638028536,149.1724651899476,148,5
38,39,-35.35982978174909,149.17268066371972,152,5
39,40,-35.35979320308858,149.1728961424243,156,5
40,41,-35.35975664728856,149.1731116268131,160,5
41,42,-35.359720118367804,149.17332711789774,164,5
42,43,-35.35968362202973,149.17354261711262,168,5
43,44,-35.35964716700406,149.17375812665114,172,5
44,45,-35.35961076833002,149.17397365028702,176,5
