,Pt_No,latitude,longitude,time,speed
0,1,-35.36077670699232,149.16547067492618,0,5
1,2,-35.36073985441612,149.16568608732982,4,5
2,3,-35.360703004991024,149.16590150043905,8,5
3,4,-35.36066615879753,149.16611691427428,12,5
4,5,-35.360629315919894,149.16633232885698,16,5
5,6,-35.360592476446406,149.1665477442096,20,5
6,7,-35.360555640469684,149.16676316035557,24,5
7,8,-35.36051880808698,149.1669785773197,28,5
8,9,-35.36048197940056,149.16719399512792,32,5
9,10,-35.36044515451811,149.16740941380755,36,5
10,11,-35.36040833355318,149.16762483338746,40,5
11,12,-35.36037151662559,149.16784025389805,44,5
12,13,-35.3603347038621,149.16805567537148,48,5
13,14,-35.360297895396926,149.16827109784185,52,5
14,15,-35.36026109137251,149.1684865213453,56,5
15,16,-35.36022429194019,149.1687019459202,60,5
16,17,-35.360187497261165,149.16891737160745,64,5
17,18,-35.360150707507444,149.16913279845068,68,5
18,19,-35.36011392286293,149.16934822649657,72,5
19,20,-35.360077143524805,149.16956365579506,76,5
20,21,-35.36004036970492,149.1697790863999,80,5
21,22,-35.36000360163155,149.16999451836892,84,5
22,23,-35.35996683955139,149.17020995176463,88,5
23,24,-35.359930083731854,149.1704253866548,92,5
24,25,-35.35989333446377,149.1706408231131,96,5
25,26,-35.35985659206467,149.17085626121994,100,5
26,27,-35.35981985688265,149.1710717010634,104,5
27,28,-35.3597831293009,149.17128714274057,108,5
28,29,-35.359746409743416,149.1715025863587,112,5
29,30,-35.35970969868181,149.17171803203715,116,5
30,31,-35.35967299664392,149.17193347990937,120,5
31,32,-35.35963630422438,149.17214893012576,124,5
32,33,-35.35959962209822,149.17236438285698,128,5
33,34,-35.359562951038434,149.17257983829833,132,5
34,35,-35.35952629193887,149.17279529667562,136,5
35,36,-35.359489645845095,149.17301075825293,140,5
36,37,-35.35945301399659,149.17322622334305,144,5
37,38,-35.35941639788633,149.1734416923227,148,5
38,39,-35.35937979934734,149.17365716565422,152,5
39,40,-35.35934322068411,149.1738726439184,156,5
40,41,-35.35930666488139,149.1740881278671,160,5
41,42,-35.35927013595792,149.17430361851194,164,5
42,43,-35.35923363961713,149.17451911728742,168,5
43,44,-35.359197184588766,149.17473462638705,172,5
44,45,-35.359160785912024,149.1749501495847,176,5
