,Pt_No,latitude,longitude,time,speed
0,1,-35.360851710799544,149.16479931591994,0,5
1,2,-35.36081485822379,149.16501472862865,4,5
2,3,-35.36077800879913,149.1652301420429,8,5
3,4,-35.36074116260609,149.16544555618316,12,5
4,5,-35.360704319728896,149.16566097107082,16,5
5,6,-35.360667480255856,149.16587638672837,20,5
6,7,-35.360630644279574,149.16609180317928,24,5
7,8,-35.36059381189731,149.16630722044832,28,5
8,9,-35.36055698321135,149.1665226385614,32,5
9,10,-35.36052015832935,149.16673805754584,36,5
10,11,-35.36048333736486,149.16695347743055,40,5
11,12,-35.36044652043772,149.16716889824588,44,5
12,13,-35.36040970767467,149.16738432002407,48,5
13,14,-35.360372899209956,149.16759974279913,52,5
14,15,-35.36033609518597,149.16781516660723,56,5
15,16,-35.3602992957541,149.1680305914867,60,5
16,17,-35.360262501075525,149.16824601747857,64,5
17,18,-35.36022571132224,149.16846144462636,68,5
18,19,-35.36018892667818,149.16867687297673,72,5
19,20,-35.3601521473405,149.16889230257965,76,5
20,21,-35.360115373521054,149.1691077334889,80,5
21,22,-35.36007860544813,149.16932316576225,84,5
22,23,-35.36004184336843,149.16953859946227,88,5
23,24,-35.36000508754933,149.1697540346567,92,5
24,25,-35.35996833828169,149.1699694714192,96,5
25,26,-35.35993159588304,149.17018490983014,100,5
26,27,-35.359894860701466,149.1704003499777,104,5
27,28,-35.359858133120156,149.17061579195888,108,5
28,29,-35.35982141356311,149.17083123588097,112,5
29,30,-35.35978470250197,149.17104668186326,116,5
30,31,-35.35974800046452,149.1712621300393,120,5
31,32,-35.35971130804541,149.1714775805594,124,5
32,33,-35.3596746259197,149.17169303359427,128,5
33,34,-35.35963795486037,149.17190848933916,132,5
34,35,-35.35960129576124,149.1721239480199,136,5
35,36,-35.3595646496679,149.17233940990053,140,5
36,37,-35.35952801781984,149.17255487529388,144,5
37,38,-35.35949140171004,149.17277034457663,148,5
38,39,-35.35945480317149,149.1729858182111,152,5
39,40,-35.3594182245087,149.17320129677802,156,5
40,41,-35.35938166870641,149.1734167810293,160,5
41,42,-35.35934513978339,149.17363227197652,164,5
42,43,-35.35930864344306,149.17384777105408,168,5
43,44,-35.359272188415126,149.17406328045547,172,5
44,45,-35.35923578973882,149.1742788039544,176,5
